step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,Prediction
393,0,124544.41,1604266.39,1728810.8,11583745.39,11459200.98,Not Fraud
249,3,15863.59,7847.0,0.0,0.0,0.0,Not Fraud
161,3,2076.76,0.0,0.0,0.0,0.0,Not Fraud
281,0,48985.19,5404171.53,5453156.72,689654.53,640669.34,Not Fraud
349,1,18515.81,20181.0,1665.19,1615024.55,1891196.54,Not Fraud
398,3,23617.21,0.0,0.0,0.0,0.0,Not Fraud
286,1,131838.57,131838.57,0.0,0.0,131838.57,Fraud
20,3,1708.79,14907.0,13198.21,0.0,0.0,Not Fraud
323,0,71246.21,49608.0,120854.21,5862126.57,5790880.36,Not Fraud
373,3,12724.62,0.0,0.0,0.0,0.0,Not Fraud
213,0,24631.41,24631.41,0.0,335365.9,359997.32,Fraud
306,3,22718.36,0.0,0.0,0.0,0.0,Not Fraud
573,3,1502.91,335531.0,334028.09,0.0,0.0,Not Fraud
10,1,144831.95,20290.0,0.0,0.0,144831.95,Not Fraud
494,1,6249897.41,6249897.41,0.0,0.0,0.0,Fraud
122,3,21517.13,21517.13,0.0,0.0,0.0,Fraud
306,3,865.2,91718.54,90853.34,0.0,0.0,Not Fraud
209,1,34816.28,38741.0,3924.72,245393.66,280209.94,Not Fraud
44,3,6350.34,0.0,0.0,0.0,0.0,Not Fraud
645,0,916653.32,916653.32,0.0,3219783.23,4136436.55,Fraud
66,3,7482730.26,7482730.26,0.0,59929.54,7542659.81,Fraud
149,3,33412.69,33412.69,0.0,429846.86,463259.56,Fraud
496,1,4763.38,4763.38,0.0,0.0,0.0,Fraud
472,1,74690.85,74690.85,0.0,5077398.24,5152089.09,Fraud
329,1,36924.93,36924.93,0.0,0.0,0.0,Fraud
263,0,166178.6,166178.6,0.0,0.0,166178.6,Fraud
735,0,54624.33,54624.33,0.0,0.0,0.0,Fraud
371,0,195707.64,297.0,196004.64,0.0,0.0,Not Fraud
343,4,1684827.45,1684827.45,0.0,0.0,0.0,Fraud
134,1,290645.36,47992.74,0.0,1118092.45,1408737.81,Not Fraud
538,3,227505.63,227505.63,0.0,621470.64,848976.26,Fraud
257,1,331443.72,331443.72,0.0,81505.21,412948.93,Fraud
311,3,282239.58,282239.58,0.0,0.0,0.0,Fraud
239,4,48161.12,48161.12,0.0,0.0,0.0,Fraud
722,4,138373.6,138373.6,0.0,0.0,0.0,Fraud
142,3,24628.21,0.0,0.0,0.0,0.0,Not Fraud
44,0,174511.44,1725.0,176236.44,84975.46,0.0,Not Fraud
238,3,232663.09,232663.09,0.0,373072.0,717183.32,Fraud
256,1,146150.66,0.0,0.0,1551470.02,1697620.68,Not Fraud
447,3,47831.29,47831.29,0.0,365061.13,412892.43,Fraud
28,1,3832128.43,3832128.43,0.0,0.0,0.0,Fraud
321,1,115723.09,0.0,0.0,1295954.2,1411677.3,Not Fraud
505,3,73321.49,73321.49,0.0,0.0,0.0,Fraud
42,4,876105.45,0.0,0.0,2240680.08,3116785.53,Not Fraud
164,0,187731.39,153155.0,340886.39,174897.06,0.0,Not Fraud
36,3,16835.18,0.0,0.0,0.0,0.0,Not Fraud
229,3,5518470.19,5518470.19,0.0,0.0,0.0,Fraud
369,1,339080.75,22210.0,0.0,47088.16,386168.91,Not Fraud
250,1,89089.44,0.0,0.0,575395.74,664485.18,Not Fraud
527,0,151000.11,151000.11,0.0,0.0,0.0,Fraud
182,1,261456.27,52420.0,0.0,336791.82,598248.09,Not Fraud
648,3,25400.34,25400.34,0.0,0.0,0.0,Fraud
502,3,6372661.41,6372661.41,0.0,0.0,0.0,Fraud
232,1,557184.36,557184.36,0.0,0.0,0.0,Fraud
115,3,2906634.86,2906634.86,0.0,2783932.27,5690567.12,Fraud
228,1,449604.77,13672.0,0.0,0.0,449604.77,Not Fraud
402,1,1834.52,0.0,0.0,663727.69,665562.21,Not Fraud
130,3,10134.91,0.0,0.0,0.0,0.0,Not Fraud
531,1,135539.36,135539.36,0.0,0.0,0.0,Fraud
210,3,6663.92,0.0,0.0,0.0,0.0,Not Fraud
90,4,1563949.95,1563949.95,0.0,0.0,0.0,Fraud
153,1,101544.41,124.0,0.0,0.0,101544.41,Not Fraud
58,0,9403.69,9403.69,0.0,181878.16,191281.84,Fraud
276,1,108126.82,0.0,0.0,3478945.23,3587072.06,Not Fraud
308,3,10041.0,20375.0,10334.0,0.0,0.0,Not Fraud
249,0,5042683.21,5042683.21,0.0,0.0,0.0,Fraud
196,4,2177545.46,2177545.46,0.0,0.0,0.0,Fraud
222,1,7463687.82,7463687.82,0.0,0.0,0.0,Fraud
252,4,27050.27,27050.27,0.0,0.0,0.0,Fraud
355,1,2044.12,99285.0,97240.88,876587.14,1158845.74,Not Fraud
48,3,31913.01,31913.01,0.0,0.0,0.0,Fraud
694,3,1820281.8,1820281.8,0.0,0.0,0.0,Fraud
252,0,124711.9,4099131.67,4223843.57,241985.83,117273.93,Not Fraud
457,4,462447.54,462447.54,0.0,0.0,0.0,Fraud
358,3,3115933.65,3115933.65,0.0,0.0,0.0,Fraud
302,4,446680.35,25508.7,0.0,500099.61,946779.97,Not Fraud
131,0,421355.48,5085432.63,5506788.12,710888.4,289532.92,Not Fraud
257,3,6317.32,639.0,0.0,0.0,0.0,Not Fraud
523,3,517872.48,517872.48,0.0,221538.68,739411.15,Fraud
223,3,173709.65,173709.65,0.0,74482.18,248191.83,Fraud
289,2,585468.79,585468.79,0.0,0.0,0.0,Fraud
129,1,236725.72,19435.0,0.0,0.0,236725.72,Not Fraud
284,0,471266.61,471266.61,0.0,0.0,471266.61,Fraud
236,4,171670.19,0.0,0.0,692104.93,863775.12,Not Fraud
190,1,38786.2,38786.2,0.0,388290.76,427076.97,Fraud
404,1,123026.54,20210.0,0.0,57487.5,180514.04,Not Fraud
491,4,1570731.98,1570731.98,0.0,0.0,0.0,Fraud
252,0,184314.67,6558.0,190872.67,0.0,0.0,Not Fraud
233,3,309192.53,309192.53,0.0,0.0,0.0,Fraud
250,1,324973.32,0.0,0.0,933695.49,1258668.81,Not Fraud
372,3,39059.64,5617.0,0.0,0.0,0.0,Not Fraud
204,3,4734.77,7894.0,3159.23,0.0,0.0,Not Fraud
324,3,48196.68,56159.0,7962.32,0.0,0.0,Not Fraud
41,0,60500.46,18829894.61,18890395.07,155008.8,94508.34,Not Fraud
330,3,226886.29,226886.29,0.0,0.0,0.0,Fraud
311,1,127381.9,127381.9,0.0,0.0,127381.9,Fraud
155,1,42821.69,0.0,0.0,103306.3,146127.99,Not Fraud
423,4,346260.3,346260.3,0.0,0.0,0.0,Fraud
122,0,522440.43,522440.43,0.0,0.0,0.0,Fraud
454,1,265797.03,265797.03,0.0,0.0,0.0,Fraud
328,3,16216.1,8911.67,0.0,0.0,0.0,Not Fraud
492,0,2565091.42,2565091.42,0.0,0.0,0.0,Fraud
373,1,390762.48,7386.0,0.0,0.0,390762.48,Not Fraud
42,0,178425.24,9863886.22,10042311.46,332130.09,153704.85,Not Fraud
183,0,121599.35,121599.35,0.0,0.0,0.0,Fraud
212,4,1556113.46,0.0,0.0,9379930.16,10936043.63,Not Fraud
